metric_name,metric_date_start,metric_date_end,metric_text,metric_value,metric_numerator,metric_denominator,mmwr_year,mmwr_week
Influenza-Like Illness Activity Level (Inner Metro Boston),11/18/2023 12:00:00 PM,11/24/2023 12:00:00 PM,Minimal,1,,,2023,47
Influenza-Like Illness Activity Level (Inner Metro Boston),11/11/2023 12:00:00 PM,11/17/2023 12:00:00 PM,Minimal,1,,,2023,46
Influenza-Like Illness Activity Level (Inner Metro Boston),11/04/2023 12:00:00 PM,11/10/2023 12:00:00 PM,Minimal,1,,,2023,45
Influenza-Like Illness Activity Level (Inner Metro Boston),10/28/2023 12:00:00 PM,11/03/2023 12:00:00 PM,Minimal,1,,,2023,44
Influenza-Like Illness Activity Level (Inner Metro Boston),10/21/2023 12:00:00 PM,10/27/2023 12:00:00 PM,Minimal,1,,,2023,43
Influenza-Like Illness Activity Level (Inner Metro Boston),10/14/2023 12:00:00 PM,10/20/2023 12:00:00 PM,Minimal,1,,,2023,42
Influenza-Like Illness Activity Level (Inner Metro Boston),10/07/2023 12:00:00 PM,10/13/2023 12:00:00 PM,Minimal,1,,,2023,41
Influenza-Like Illness Activity Level (Inner Metro Boston),09/30/2023 12:00:00 PM,10/06/2023 12:00:00 PM,Minimal,1,,,2023,40
Influenza-Like Illness Activity Level (Inner Metro Boston),09/23/2023 12:00:00 PM,09/29/2023 12:00:00 PM,Minimal,1,,,2023,39
Influenza-Like Illness Activity Level (Inner Metro Boston),09/16/2023 12:00:00 PM,09/22/2023 12:00:00 PM,Minimal,1,,,2023,38
Influenza-Like Illness Activity Level (Inner Metro Boston),09/09/2023 12:00:00 PM,09/15/2023 12:00:00 PM,Minimal,1,,,2023,37
Influenza-Like Illness Activity Level (Inner Metro Boston),09/02/2023 12:00:00 PM,09/08/2023 12:00:00 PM,Minimal,1,,,2023,36
Influenza-Like Illness Activity Level (Inner Metro Boston),08/26/2023 12:00:00 PM,09/01/2023 12:00:00 PM,Minimal,1,,,2023,35
Influenza-Like Illness Activity Level (Inner Metro Boston),08/19/2023 12:00:00 PM,08/25/2023 12:00:00 PM,Minimal,1,,,2023,34
Influenza-Like Illness Activity Level (Inner Metro Boston),08/12/2023 12:00:00 PM,08/18/2023 12:00:00 PM,Minimal,1,,,2023,33
