Timestamp,How long have you lived in Somerville?,Do you rent or own your place of residence?,"If you own, what type of home do you own?","If a Condo, how many units are in your building?",Are you interested in reducing your energy use?,Have you had an energy audit done in your home?,Please select any measures you have taken to reduce your energy usage.,Would you be interested in a program offered through the City where Somerville residents can receive information on solar for their homes and reduced pricing for solar? ,"If you own a business or commercial building, are you interested in a commercial solar program offered through the City of Somerville?",Are you interested in installing solar PV on your house?,"If you’ve been thinking about installing solar panels, what has held you back?","If you were to install solar PV on your home or business, is your preference to:",Would you like to volunteer on a residential solar outreach effort to get your friends and neighbors to install solar on their homes?,"If solar was not a good fit for your home, the City of Somerville could potentially offer a “community solar project”, where people can opt in to purchase solar shares of a solar project located inside or near Somerville, in essence retaining the same ben",There are various ways in funding a community solar project. Would you be interested in purchasing shares of a community solar project where you could receive the same benefits of owning a system of your own?  Knowing you could receive the energy output f,Please indicate if you would like further information on the following in regards to solar panels (select any and all that you may have),Do you own an electric vehicle?,"If no, have you considered purchasing one?",Would your preference be to charge an electric vehicle in your driveway or charge it in a public lot?
01/24/2015 04:02:49 PM,2-5 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use",Not interested at all,,"Renters should have no say in what an owner does with their property. Even if I wanted solar PV on my house (which is a great idea), it's the owners decision. Not mine. ",I own property in another part of the state. I've not installed solar PV due to ROI concerns.,"If the ROI was good, I would perhaps lease.",No,Not interested,No,,No,Yes,Driveway
01/26/2015 03:25:36 PM,20+ years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows","Yes, very interested",,"Maybe, I need to learn more",Cost,Need more info ,No,Not interested,No,"Permitting, Planning & Zoning, Financing Options",No,Yes,Driveway
01/08/2015 12:16:34 PM,5-10 years,Own,Multi-family (1-4 units),3,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Shut off lights when not in use",Not interested at all,,No,,,No,Not interested,No,,No,Yes,Driveway
01/23/2015 12:04:20 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,Yes,Cost,Interested to learn the options,"Maybe, let's talk",Not interested,Yes,,No,Yes,Driveway
01/08/2015 04:50:25 PM,< 1 year,Own,Condo,2,Yes,Yes,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective",Cost,Purchase the system outright,No,Not interested,Yes,,No,Yes,Driveway
01/21/2015 01:59:43 PM,20+ years,Rent,Single family,,Yes,No,Shut off lights when not in use,"Yes, somewhat interested",No,"Yes, but I don't think my roof is suitable","Rent, not own","Rent, not own",No,Not interested,No,Financing Options,No,No,Public Lot
01/10/2015 10:36:18 AM,< 1 year,Rent,,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",No,No,renting,Purchase the system outright,"Maybe, let's talk",Not interested,No,,No,Yes,Public Lot
01/23/2015 02:12:08 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,No,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use, have circuit breakers on all appliances, do not use dryer anymore, dry on line and then use air dry cycle for a few minutes to fluff laundry that is already dry","Yes, somewhat interested",,"Maybe, I need to learn more",see above,"I would prefer the city to own the system, and feed the grid allowing me a preferred rate for electricity",No,Not interested,No,,No,Yes,Public Lot
01/08/2015 03:22:35 PM,10-15 years,Own,Single family,,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Technology,didn't even know there were choices,No,Not interested,No,,No,No,
02/08/2015 06:46:23 PM,5-10 years,Own,Condo,6,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,No,Cost,,,Not interested,No,,No,No,
02/18/2015 11:06:23 AM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",we were told that the triple decker next door blocks the southern exposure,Lease the system,No,Somewhat interested,No,,No,No,Driveway
01/12/2015 12:44:42 PM,,Own,Single family,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Not sure,No,Somewhat interested,No,"Permitting, Planning & Zoning, Financing Options",No,No,Driveway
01/25/2015 02:43:57 PM,5-10 years,Own,Condo,3,Yes,No,"Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,Purchase the system outright,No,Somewhat interested,No,Financing Options,No,No,Driveway
01/23/2015 12:07:17 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,Had your home insulated,"Yes, very interested",No,"Yes, but I don't think my roof is suitable",I have a slate roof,Purchase the system outright,No,Somewhat interested,No,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
02/18/2015 04:24:33 PM,5-10 years,Own,Condo,2,Yes,Yes,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Shut off lights when not in use, Insulation and good windows, thermostat, etc were already installed when we bought our home.","Yes, very interested",,"Yes, but I don't think it's cost effective",Possibility of moving making the cost not effective.  I would want to have solar panels on the home I am in long-term and with a growing family that might not be this home.,Purchase the system outright,No,Somewhat interested,No,Financing Options,No,No,Driveway
01/23/2015 06:06:51 PM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",roof faces the wrong way,Purchase the system outright,No,Somewhat interested,No,,No,No,Driveway
01/09/2015 06:56:34 PM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,,,,No,Somewhat interested,No,,No,No,Driveway
01/09/2015 11:21:41 AM,2-5 years,Own,Condo,3,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding and would need to discuss with association,,,Somewhat interested,No,Financing Options,No,No,Driveway
01/25/2015 09:42:16 AM,10-15 years,Own,Condo,2,Yes,No,"Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Maybe, I need to learn more",How it affects us as a condo association,don't know yet,"Maybe, let's talk",Somewhat interested,Yes,Financing Options,No,No,Driveway
02/05/2015 08:53:00 PM,20+ years,Rent,,,Yes,Yes,"Had your home insulated, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",,Lease the system,"Maybe, let's talk",Somewhat interested,Yes,Financing Options,No,No,Driveway
02/19/2015 09:52:08 AM,10-15 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,not sure,"Maybe, let's talk",Somewhat interested,Yes,"Permitting, Financing Options",No,No,Driveway
01/15/2015 02:23:50 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,open to either,"Maybe, let's talk",Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/18/2015 05:18:26 PM,15-20 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Purchase the system outright,"Maybe, let's talk",Somewhat interested,Yes,"Permitting, Interconnection & Net Metering",No,No,Driveway
01/14/2015 10:19:17 AM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",Cost,Purchase the system outright,"Maybe, let's talk",Somewhat interested,Yes,Financing Options,No,No,Driveway
01/23/2015 11:42:25 AM,2-5 years,Own,Single family,,Yes,Yes,"Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Purchase the system outright,"Maybe, let's talk",Somewhat interested,Yes,Interconnection & Net Metering,No,No,Driveway
01/24/2015 02:34:12 PM,10-15 years,Own,Single family,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Unclear which option is best,"Maybe, let's talk",Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/08/2015 04:44:46 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Technology,Allow utility company to install,No,Somewhat interested,Yes,Financing Options,No,No,Driveway
