url,date,title,pageviews,id
/,01/09/2020 12:00:00 AM,Home,976,20200109:/
/departments/parking-department,01/09/2020 12:00:00 AM,Parking Department,920,20200109:/departments/parking-department
/departments/finance/assessing,01/09/2020 12:00:00 AM,Assessing,297,20200109:/departments/finance/assessing
/departments/personnel,01/09/2020 12:00:00 AM,Personnel,263,20200109:/departments/personnel
/departments,01/09/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",243,20200109:/departments
/citizenserve,01/09/2020 12:00:00 AM,Apply for a License or Permit,164,20200109:/citizenserve
/departments/dpw-sanitation/somerville-trash-recycling-information,01/09/2020 12:00:00 AM,Somerville Trash & Recycling Information,161,20200109:/departments/dpw-sanitation/somerville-trash-recycling-information
/payonline,01/09/2020 12:00:00 AM,Pay Bills & More,153,20200109:/payonline
/jobs/all,01/09/2020 12:00:00 AM,Job Postings,141,20200109:/jobs/all
/planningandzoning,01/09/2020 12:00:00 AM,Planning and Zoning,128,20200109:/planningandzoning
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/09/2020 12:00:00 AM,Somerville Waste Wizard,96,20200109:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/departments/isd/building-division,01/09/2020 12:00:00 AM,ISD - Building Division,96,20200109:/departments/isd/building-division
/,01/07/2020 12:00:00 AM,Home,1171,20200107:/
/departments/parking-department,01/07/2020 12:00:00 AM,Parking Department,1011,20200107:/departments/parking-department
/departments/dpw-sanitation/somerville-trash-recycling-information,01/07/2020 12:00:00 AM,Somerville Trash & Recycling Information,291,20200107:/departments/dpw-sanitation/somerville-trash-recycling-information
/departments/finance/assessing,01/07/2020 12:00:00 AM,Assessing,277,20200107:/departments/finance/assessing
/departments,01/07/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",227,20200107:/departments
/departments/personnel,01/07/2020 12:00:00 AM,Personnel,187,20200107:/departments/personnel
/citizenserve,01/07/2020 12:00:00 AM,Apply for a License or Permit,181,20200107:/citizenserve
/payonline,01/07/2020 12:00:00 AM,Pay Bills & More,181,20200107:/payonline
/citycouncil,01/09/2020 12:00:00 AM,City Council,90,20200109:/citycouncil
/departments/finance/purchasing,01/09/2020 12:00:00 AM,Purchasing,82,20200109:/departments/finance/purchasing
/departments/programs/inclusionary-housing-program,01/09/2020 12:00:00 AM,Inclusionary Housing Program,70,20200109:/departments/programs/inclusionary-housing-program
/departments/personnel?page=1,01/09/2020 12:00:00 AM,Personnel,65,20200109:/departments/personnel?page=1
/departments/programs/lead-service-line-replacement-program,01/09/2020 12:00:00 AM,Lead Service Line Replacement Program,63,20200109:/departments/programs/lead-service-line-replacement-program
/departments/ospcd/planning-and-zoning/reports-and-decisions,01/09/2020 12:00:00 AM,Reports and Decisions,62,20200109:/departments/ospcd/planning-and-zoning/reports-and-decisions
/payments,01/09/2020 12:00:00 AM,Pay Bills & More,61,20200109:/payments
/climateforward/ambassadors,01/09/2020 12:00:00 AM,Climate Forward Ambassadors,53,20200109:/climateforward/ambassadors
/,01/10/2020 12:00:00 AM,Home,976,20200110:/
/departments/parking-department,01/10/2020 12:00:00 AM,Parking Department,920,20200110:/departments/parking-department
/departments/finance/assessing,01/10/2020 12:00:00 AM,Assessing,297,20200110:/departments/finance/assessing
/departments/personnel,01/10/2020 12:00:00 AM,Personnel,263,20200110:/departments/personnel
/departments,01/10/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",243,20200110:/departments
/citizenserve,01/10/2020 12:00:00 AM,Apply for a License or Permit,164,20200110:/citizenserve
/departments/dpw-sanitation/somerville-trash-recycling-information,01/10/2020 12:00:00 AM,Somerville Trash & Recycling Information,161,20200110:/departments/dpw-sanitation/somerville-trash-recycling-information
/payonline,01/10/2020 12:00:00 AM,Pay Bills & More,153,20200110:/payonline
/jobs/all,01/10/2020 12:00:00 AM,Job Postings,141,20200110:/jobs/all
/planningandzoning,01/10/2020 12:00:00 AM,Planning and Zoning,128,20200110:/planningandzoning
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/10/2020 12:00:00 AM,Somerville Waste Wizard,96,20200110:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/departments/isd/building-division,01/10/2020 12:00:00 AM,ISD - Building Division,96,20200110:/departments/isd/building-division
/citycouncil,01/10/2020 12:00:00 AM,City Council,90,20200110:/citycouncil
/departments/finance/purchasing,01/10/2020 12:00:00 AM,Purchasing,82,20200110:/departments/finance/purchasing
