Year,Location #,Location Name,AM/PM,Movement,Bike,Ped
2010,1,Webster Ave & Prospect St,AM,1,1,22
2010,1,Webster Ave & Prospect St,AM,2,3,17
2010,1,Webster Ave & Prospect St,AM,3,58,59
2010,1,Webster Ave & Prospect St,AM,4,5,26
2010,2,Washington St & Somerville Ave,AM,1,73,146
2010,2,Washington St & Somerville Ave,AM,2,14,70
2010,2,Washington St & Somerville Ave,AM,3,19,43
2010,2,Washington St & Somerville Ave,AM,4,17,39
2010,3,Somerville Ave & Prospect St,AM,1,15,35
2010,3,Somerville Ave & Prospect St,AM,2,16,47
2010,3,Somerville Ave & Prospect St,AM,3,5,16
2010,3,Somerville Ave & Prospect St,AM,4,5,22
2010,4,Somerville Ave & Elm St,AM,1,7,45
2010,4,Somerville Ave & Elm St,AM,2,33,22
2010,4,Somerville Ave & Elm St,AM,3,12,117
2010,4,Somerville Ave & Elm St,AM,4,8,14
2010,5,Medford St & Broadway,AM,1,4,27
2010,5,Medford St & Broadway,AM,2,3,16
2010,5,Medford St & Broadway,AM,3,5,23
2010,5,Medford St & Broadway,AM,4,11,21
2010,6,Willow Ave & Elm St,AM,1,8,50
2010,6,Willow Ave & Elm St,AM,2,3,12
2010,6,Willow Ave & Elm St,AM,3,9,34
2010,6,Willow Ave & Elm St,AM,4,42,81
2010,7,Community Path & Grove St,AM,1,2,38
2010,7,Community Path & Grove St,AM,2,3,69
2010,7,Community Path & Grove St,AM,3,29,282
2010,7,Community Path & Grove St,AM,4,3,33
2010,8,Community Path & Cedar St,AM,1,17,81
2010,8,Community Path & Cedar St,AM,2,1,15
2010,8,Community Path & Cedar St,AM,3,14,26
2010,8,Community Path & Cedar St,AM,4,18,49
2010,9,Community Path & Buena Vista Rd,AM,1,9,1
2010,9,Community Path & Buena Vista Rd,AM,2,2,0
2010,9,Community Path & Buena Vista Rd,AM,3,10,43
2010,9,Community Path & Buena Vista Rd,AM,4,13,264
2010,10,College Ave & Powder House Circle,AM,1,6,26
2010,10,College Ave & Powder House Circle,AM,2,21,166
