Project,Address,X,Y,Department,Type,Funding Source,Status,TOTAL,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Project Description,Project Justification
Decorative Barrels & Benches,,,,DPW,Recurring,"Debt Service, Capital Stabilization",Approved,1000000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,"Purchase decorative recycling and trash barrels and benches to be installed throughout the city. These items are built to withstand the elements, are easily cleanable (i.e. graffiti, gum), and require very little maintenance."," These elegant but durable benches and barrels will improve the aesthetics of the city’s streetscapes, decrease litter on city streets, and encourage pedestrian traffic. There are currently 600 decorative trash barrels in our streets and parks; the City aspires to accompany each with a recycling barrel."
"ADA Curb Ramps, Sidewalks & Accessible Street Crossing Signals",,,,DPW,Recurring,Debt Service,Approved,10000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,"Funding for ADA curb ramps, sidewalks, and accessibility features throughout the city as outlined in the City’s ADA Transition Plan.","Somerville’s aging infrastructure has a significant backlog of ADA concerns which are addressed both as part of the ADA transition plan and on an ongoing basis as they arise. The City plans on making recurring investments to remediate these issues over the coming years. This $1M each year will be used to remediate non-compliant curb ramps, install crosswalks signage, and resolve any compliance issues that arise."
Accessibility Improvements - Public Buildings & Communication,,,,DPW,Recurring,"Debt Service, CDBG",Approved,5000000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,"Design, construction, and installation of accessibility improvements to schools and other public buildings.",The City owns and maintains several buildings that are not in compliance with current accessibility standards. The 2013 ADA Self-Evaluation identified millions in accessibility improvements at public buildings. The City will bring these buildings into compliance over time with annual capital investments as outlined in the 2015 ADA Transition Plan.
Fire Vehicle Replacement,,,,Fire,Recurring,Debt Service,Approved,1073175.00,508800.00,564375.00,,,,,,,,,Replacement vehicles for the Somerville Fire Department fleet.,The City combines National Fire Protection Association recommendations with current vehicle conditions to develop a long-term replacement plan for all departmental vehicles. Properly functioning assets are critical to operations and the safety of residents.
Backlog Sidewalk Repairs (Second Contract),,,,DPW,Infrastructure,Debt Service,Approved,200000.00,200000.00,,,,,,,,,,Contract services to remediate a backlog of sidewalk repair issues.,"Due to capacity issues, the Department of Public Works retains a backlog of sidewalk repairs throughout the city which it cannot complete. The use of contractors to remediate this list of projects will allow the DPW to focus on new work orders and ensure their timely completion."
Citywide Mobility Plan,,,,T&I,One-Time,Capital Stabilization,Approved,470000.00,470000.00,,,,,,,,,,Develop a Citywide Mobility Plan in collaboration with a contractor.,"A Mobility Plan will be employed to guide the planning, design, renovation, and expansion of the city’s transportation-related infrastructure improvements including; streets, walkways, signage, bike paths, parking facilities, and connections to public transit, state highways, waterways, and access to marine and air facilities."
Hubway Bicycle Share (6 New Stations),,,,T&I,One-Time,Debt Service,Approved,360000.00,,180000.00,180000.00,,,,,,,,Expansion of the Somerville Hubway bicycle sharing program by adding six new stations over the next two years.,The City would like to expand the Hubway bicycle sharing network by adding new stations in East Somerville and other under served locations.
Big Belly Purchase,,,,DPW,One-Time,Debt Service,Approved,200000.00,200000.00,,,,,,,,,,Purchase Big Belly trash receptacles to be installed throughout the city. These trash barrels are able to be remotely monitored by Public Works employees for more efficient clearing.,"Big Belly trash receptacles are an improvement over traditional trash barrels. By reporting their current capacity, these barrels inform City staff when they need to be cleared and can therefore increase productivity. Additionally, these barrels can be branded, refurbished, and last longer than traditional refuse containers."
Hybrid Refuse Trucks (2) Supplemental Request to Replacement Schedule,,,,DPW,One-Time,Debt Service,Approved,250000.00,250000.00,,,,,,,,,,Purchase of two hybrid refuse trucks to replace aging vehicles in the City’s fleet.,"The two hybrid refuse trucks will replace city vehicles that have reached the end of their useful life. Intended to be used to clear trash barrels throughout the city, these hybrid vehicles will also be more energy efficient than the vehicles they will be replacing."
New Voting Equipment,,,,Elections,One-Time,Capital Stabilization,Approved,160000.00,160000.00,,,,,,,,,,Purchase new voting machines in preparation for the 2016 general election.,"The City’s current voting machines have served their useful life and are in need of replacement. Newer models will be less likely to malfunction, require less ongoing maintenance, and can have wireless transmission of election results (when approved by the State). All these factors will provide for a better voting experience for Somerville residents."
Fire Dept SCBA Tanks,,,,Fire,One-Time,Capital Stabilization,Pending Review,135000.00,,135000.00,,,,,,,,,Replacement tanks for the Fire Department’s set of self-contained breathing apparatus.,The current 30 and 60-minute cylinders will reach their end of service life in 2018. The City received the current cylinders through grant funding in 2003 and plan on pursuing the same funding source during the 2017 grant cycle. These cylinders are necessary for incidents in MBTA tunnels as well as for technical rescue operations.
Wayfinding (Street Signage),,,,T&I,One-Time,Debt Service,Pending Review,900000.00,,,225000.00,675000.00,,,,,,,"Design, fabricate, and install comprehensive wayfinding signs.","A comprehensive wayfinding plan will better promote Somerville’s economic activity by directing passersby, Green Line users, and others to the city’s neighborhood business districts. It will also reduce traffic congestion and create a better sense of place and visual aesthetic throughout the city. This project will be advised by the currently underway Citywide Mobility Study."
Skateboard Park,,,,Capital Projects,One-Time,Debt Service,Pending Review,1000000.00,,,,,150000.00,850000.00,,,,,Develop a dedicated skateboard park. As of yet no determination has been made on size or location.,"Recreational space for youth and teenagers is a key priority and offering a variety of uses in these spaces best serves our diverse population. There is no dedicated skateboard facility in the City, which has led youths to use squares, benches, monuments or inappropriate playground space for their recreation. A skateboard park will provide sanctioned space and a more suitable and safer environment for our skateboard community."
Street/Sidewalk Repairs,"Somerville, MA
(42.389121, -71.097145)",,,DPW,Recurring,"Debt Service, Ch. 90",Approved,17500000.00,2200000.00,1700000.00,1700000.00,1700000.00,1700000.00,1700000.00,1700000.00,1700000.00,1700000.00,1700000.00,"Road maintenance, road reconstruction, and sidewalk repair projects as prioritized by the Neighborhood Street Reconstruction Program","Making the City streets and sidewalks safe and accessible to all is a top priority. Given Somerville’s density, city streets and sidewalks are heavily utilized and thus require frequent maintenance. The City must continually invest in this infrastructure to ensure that all pedestrians, motorists, and cyclists can maneuver through the city safely and efficiently."
Brickbottom Revitalization Plan,"5 Chestnut St02143
(42.377677, -71.086155)",,,Planning & Zoning,Planning,Debt Service,Pending Review,300000.00,,300000.00,,,,,,,,,"In collaboration with consultants, complete a revitalization plan for the Brickbottom neighborhood in the South East of the city.","Brickbottom has been identified by the SomerVision master plan as one of the areas of the city targeted for growth and transformation. As a means of implementing the aims of the Inner Belt/Brickbottom Plan completed in conjunction with Goody Clancy and in recognition of the effects likely to arise from the nearby Green Line MBTA station and the Grounding McGrath Initiative, the revitalization plan will serve as a stepping stone to account for these anticipated changes."
Draw Seven Park,"99 Foley St02143
(42.39325, -71.078932)",,,T&I,Parks & Playgrounds,Debt Service,Approved,3850000.00,350000.00,3500000.00,,,,,,,,,Remediation of winter 2015 damage and improvements to Draw 7 park.,The City used the site of Draw 7 park as a snow farm during the historic winter of 2014-15 and must remediate soil damage. The City also has plans to update the park in future years as part of a plan to make the city’s waterfront more accessible.
Corbett-McKenna Playground Renovation,"32 Munroe St02143
(42.380752, -71.092166)",,,T&I,Parks & Playgrounds,"Capital Stabilization, Debt Service",Approved,275000.00,25000.00,250000.00,,,,,,,,,Improvements to the Corbett-McKenna Playground.,Corbett-McKenna Playground is in need of an update as part of the greater Prospect Hill Park redesign. Some elements require replacement or repair and will be remediated through this project.
City Hall Renovations,"93 Highland Ave
Somerville, MA
(42.386125, -71.096665)",,,Capital Projects,Major Building,"Debt Service, CPA",Approved,4400000.00,400000.00,4000000.00,,,,,,,,,"Perform a rehabilitation of cff; Provide an independent HVAC system, emergency generator, address ADA issues, address program space needs, upgrade restrooms, repoint exterior mortar joints, repair roofing and any structural concerns, and repaint the exterior of City Hall.","Existing building systems have long passed their life expectancy. With the approval of a new High School building by the MSBA, City Hall must have its own heating system installed. Other renovations and upgrades will enhance and restore this historically-significant and beautiful building."
